album,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
God Bless The U.S.A.,Lee Greenwood,spotify:track:623lYBOJ7bLwh1bu3yeN5V,0.299,0.422,5,-9.977,1,0.0285,0.0873,0.0,0.182,0.168,67.797
"Take Me Home, Country Roads - Rerecorded",John Denver,spotify:track:2xYlyywNgefLCRDG8hlxZq,0.255,0.43,9,-12.564,1,0.0322,0.546,1.87e-05,0.188,0.546,164.267
Blowin' in the Wind,Bob Dylan,spotify:track:18GiV1BaXzPVYpp9rmOg0E,0.38,0.0993,2,-20.567,1,0.0509,0.914,2.32e-05,0.0605,0.44,174.874
Sweet Caroline,Neil Diamond,spotify:track:3298yRJKPcCndQdNiTZKIo,0.538,0.127,11,-16.057,1,0.0284,0.589,0.00017,0.238,0.527,62.829
"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",Eric Clapton,spotify:track:612VcBshQcy4mpB2utGc3H,0.695,0.336,9,-12.999,1,0.0313,0.8,0.00264,0.701,0.422,79.109
Home Sweet Home,Mötley Crüe,spotify:track:4zXvB4MoQD8onk0NCZbeHG,0.403,0.777,5,-6.416,1,0.0354,0.0999,3.28e-06,0.124,0.149,76.329
Tears In Heaven (Feat. Kenny G),Joe Gransden,spotify:track:3vCU1OjK02CGtHbINKnVU4,0.495,0.349,0,-9.926,0,0.0246,0.798,0.707,0.103,0.152,77.971
Have You Ever Seen The Rain?,Creedence Clearwater Revival,spotify:track:4JuJ9ewGWWGy0U3URuXOSI,0.741,0.697,0,-7.028,1,0.0277,0.0664,2.28e-05,0.133,0.774,116.109
"Girl, You'll Be A Woman Soon",Urge Overkill,spotify:track:1HRJZBTXS3VZr59Py8oIcz,0.524,0.572,5,-13.306,1,0.0413,0.0627,0.000133,0.208,0.607,114.182
Jack & Diane,John Mellencamp,spotify:track:43btz2xjMKpcmjkuRsvxyg,0.811,0.41,9,-8.214,1,0.0391,0.0365,6.63e-06,0.0799,0.626,103.965
Happy Days (Theme from ''Happy Days''),Pratt & McClain,spotify:track:1CCuMgDauGruOwxrSh9NSW,0.591,0.706,5,-12.115,1,0.0552,0.043,0.00172,0.231,0.915,95.762
Mercy Seat - I Just Want You Album Version,Vicki Yohe,spotify:track:4JkClDpEz5wUQsl6HnKxyH,0.543,0.577,4,-5.842,0,0.0404,0.483,0.0,0.263,0.179,142.04
The Unforgiven,Metallica,spotify:track:5SnOyuBtyzufoXBAKOdcxD,0.539,0.597,7,-9.581,1,0.0258,0.0108,0.00552,0.134,0.251,139.444
It's Just a Little Crush,Anything But Monday,spotify:track:4LjIwJj7G4cKzVSsmnC9Pz,0.73,0.751,11,-6.272,0,0.0343,0.0726,0.179,0.168,0.924,127.987
Joy To The World,Three Dog Night,spotify:track:2ymeOsYijJz09LfKw3yM2x,0.649,0.679,2,-12.515,1,0.0316,0.464,0.00121,0.339,0.971,126.867
Fuck Her Gently,Tenacious D,spotify:track:4BVzMXl6fgEC82DpjTZD0T,0.521,0.297,2,-7.022,1,0.0351,0.732,0.0,0.273,0.517,118.681
Someone Saved My Life Tonight,Elton John,spotify:track:5i7z7K3YuFCGbYIn6OzrpA,0.458,0.446,1,-8.82,1,0.0279,0.334,6.28e-06,0.195,0.159,130.062
Cleveland Rocks,The Presidents Of The United States Of America,spotify:track:5rsiXpifJ6NLCpdhTgOWU6,0.438,0.816,1,-7.573,1,0.0564,0.0171,0.0,0.382,0.644,148.244
Karaoke Superstars,Superchick,spotify:track:1ZqUyaaOb7vAeY2yF7EsOw,0.678,0.869,8,-5.788,1,0.0595,0.0368,0.0,0.524,0.644,131.98
Beautiful,Christina Aguilera,spotify:track:3TCauNPqFiniaYHBvEVoHG,0.456,0.573,5,-3.866,0,0.0275,0.578,3.05e-06,0.114,0.0992,76.19
Kiss from a Rose,Seal,spotify:track:3YKptz29AsOlm7WAVnztBh,0.584,0.533,10,-7.11,0,0.0305,0.684,0.0,0.306,0.224,131.745
Thunderstruck,The Fanatics,spotify:track:6viFwYWKQrRc49vmg8Sqod,0.613,0.656,9,-9.849,1,0.0404,0.000977,0.000224,0.328,0.177,133.042
Jenny 867-5309,Prozac Daisies,spotify:track:2AIuvOKTzT3MFi3q8xwAk6,0.516,0.865,6,-3.576,0,0.0433,0.000138,0.0193,0.488,0.599,133.918
I'm a Believer - 2006 Remaster,The Monkees,spotify:track:3G7tRC24Uh09Hmp1KZ7LQ2,0.526,0.775,0,-6.05,1,0.0352,0.707,2.05e-05,0.217,0.962,80.106
Beds Are Burning,Midnight Oil,spotify:track:0XHGKdViVybbZKqEZ2tXqV,0.758,0.41,0,-11.8,1,0.0404,0.013,0.000101,0.0875,0.339,119.197
Eternal Flame,The Bangles,spotify:track:5MoDQWMDMaAGDEiWsJfeCi,0.526,0.358,4,-7.239,0,0.0243,0.525,0.0,0.0942,0.399,78.989
It Ain't What You Do It's the Way That You Do It,Fun Boy Three,spotify:track:4wQJLFN6BU0ptUoe0T2lcO,0.684,0.559,5,-11.366,0,0.168,0.358,0.0427,0.641,0.892,179.556
Wanted Dead Or Alive,Bon Jovi,spotify:track:2fY6tqgrlrg1ky9fgs0t5u,0.257,0.803,7,-3.886,1,0.0411,0.137,0.0156,0.297,0.294,150.818
Son of a Preacher Man,Aretha Franklin,spotify:track:4uCbetXW9LStYPUjCpBVp9,0.474,0.473,2,-11.454,1,0.0601,0.545,1.25e-06,0.0356,0.561,77.583
For What It's Worth,Buffalo Springfield,spotify:track:1qRA5BS78u3gME0loMl9AA,0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883
Piece of My Heart,Big Brother & The Holding Company,spotify:track:1xKQbqQtQWrtQS47fUJBtl,0.443,0.727,4,-7.951,1,0.145,0.263,0.000141,0.169,0.566,160.82
I'll Have To Say I Love You In A Song,Jim Croce,spotify:track:4TjrIZw2QxJxbVjdc3XKsj,0.526,0.545,9,-11.673,1,0.028,0.65,0.000612,0.106,0.733,134.053
My Name Is,Eminem,spotify:track:75IN3CtuZwTHTnZvYM4qnJ,0.869,0.68,1,-6.233,1,0.318,0.0416,1.12e-06,0.0914,0.815,85.519
"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,spotify:track:5Z01UMMf7V1o0MzF86s6WJ,0.692,0.744,2,-4.565,1,0.257,0.00868,0.000423,0.359,0.0612,171.374
Do You Remember?,Jessiah A. Yoder,spotify:track:3h9qgV3NrVvlECvLtWJB0e,0.697,0.549,7,-12.379,1,0.031,0.51,0.00299,0.0581,0.954,139.995
Minnie the Moocher,C&C Productions,spotify:track:0ZmN7HFQj7AHicpzPDN6KD,0.597,0.543,9,-6.336,0,0.0549,0.074,0.0,0.372,0.688,103.487
Someone Like You,Adele,spotify:track:4kflIGfjdZJW4ot2ioixTB,0.559,0.33,9,-8.251,1,0.0285,0.892,0.0,0.0975,0.285,135.109
No Type,Rae Sremmurd,spotify:track:4scpF6J5uMBvoh6sFB7EL1,0.891,0.486,6,-7.803,1,0.159,0.0158,3.78e-06,0.0925,0.239,125.01
"Boulevard of Broken Dreams - Live at Milton Keynes National Bowl, Milton Keynes, England, 6/18/05",Green Day,spotify:track:224kL7H7v6VhHYK3yqxiha,0.259,0.983,8,-3.523,1,0.0869,0.0583,0.000298,0.972,0.375,166.81
Ain't That A Kick In The Head,Dean Martin,spotify:track:7D2jhjVZsU4NXO8HxVG3aA,0.594,0.399,2,-10.012,1,0.0549,0.773,0.0,0.366,0.83,131.797
Badd,Ying Yang Twins,spotify:track:1Epb6Kfe3GTgKrrWs1Y4Wy,0.585,0.697,1,-6.126,0,0.357,0.0339,0.0,0.255,0.402,133.177
Candle In The Wind - Remastered 2014,Elton John,spotify:track:1L9fzw2pXprOqtemTwtxXF,0.602,0.536,4,-9.74,1,0.0288,0.183,1.9e-05,0.0802,0.506,124.558
The Lion Sleeps Tonight (Wimoweh),The Tokens,spotify:track:2F4FNcz68howQWD4zaGJSi,0.321,0.474,5,-9.383,1,0.0348,0.743,0.0,0.204,0.804,121.199
Can You Feel The Love Tonight,Elton John,spotify:track:67HKtdqchK0rmODxsBeWT8,0.297,0.364,10,-9.261,1,0.0305,0.813,0.000761,0.0976,0.149,122.598
Hotel California - 2013 Remaster,Eagles,spotify:track:40riOy7x9W7GXjyGp4pjAv,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125
In The Air Tonight - 2015 Remastered,Phil Collins,spotify:track:18AXbzPzBS8Y3AkgSxzJPb,0.446,0.239,0,-13.945,1,0.0316,0.551,4.1e-06,0.0697,0.298,189.507
Uptown Girl,Billy Joel,spotify:track:5zA8vzDGqPl2AzZkEYQGKh,0.701,0.944,4,-2.986,1,0.0455,0.0755,0.0,0.601,0.792,128.993
Ain't No Mountain High Enough,Marvin Gaye,spotify:track:2H3ZUSE54pST4ubRd5FzFR,0.669,0.616,11,-10.776,0,0.033,0.482,0.0,0.179,0.818,130.037
Let It Be - Remastered,The Beatles,spotify:track:5V1AHQugSTASVez5ffJtFo,0.443,0.403,0,-8.339,1,0.0322,0.631,0.0,0.111,0.41,143.462
Jessie's Girl,Rick Springfield,spotify:track:5RsUlxLto4NZbhJpqJbHfN,0.727,0.834,2,-5.851,1,0.0496,0.165,0.0,0.105,0.816,131.7
Fly Me To The Moon (In Other Words),Frank Sinatra,spotify:track:5b7OgznPJJr1vHNYGyvxau,0.668,0.26,7,-14.256,1,0.0523,0.453,0.0,0.0621,0.368,119.416
Lookin' Out My Back Door,Creedence Clearwater Revival,spotify:track:3RTUfvRgq3pYTf7XY0FIcS,0.745,0.656,10,-6.393,1,0.0405,0.188,0.00337,0.0941,0.858,105.318
Bridge Over Troubled Water,Simon & Garfunkel,spotify:track:6l8EbYRtQMgKOyc1gcDHF9,0.149,0.206,3,-13.888,1,0.0323,0.822,0.000649,0.115,0.264,79.764
House Of The Rising Sun,The Animals,spotify:track:7BY005dacJkbO6EPiOh2wb,0.295,0.584,9,-6.696,0,0.0345,0.000385,0.218,0.0996,0.228,117.2
Daydream Believer,The Monkees,spotify:track:7uEcCGtM1FBBGIhPozhJjv,0.51,0.488,7,-10.304,1,0.0304,0.256,0.0,0.11,0.649,125.683
Livin' On A Prayer,Bon Jovi,spotify:track:0J6mQxEZnlRt9ymzFntA6z,0.534,0.887,0,-3.777,1,0.0345,0.0768,9.93e-05,0.325,0.72,122.494
You Give Love A Bad Name,Bon Jovi,spotify:track:3KYiA4vq6RPO1dE2XROXd8,0.537,0.959,0,-3.002,0,0.0557,0.0704,1.8e-06,0.382,0.828,122.806
Thank You For Loving Me,Bon Jovi,spotify:track:577MNC3o3L0lNIzx9abqOk,0.385,0.342,2,-7.749,1,0.0285,0.416,0.0,0.119,0.131,132.864
Two Story Town,Bon Jovi,spotify:track:5ZH9eXVK1rs0NboOhvY86Y,0.529,0.732,9,-6.201,0,0.033,0.0273,0.0,0.52,0.506,94.45
Next 100 Years,Bon Jovi,spotify:track:6ALxuARAwzq5f6FB2glgPm,0.273,0.759,11,-4.75,0,0.0427,0.00159,0.00437,0.101,0.442,167.644
Just Older,Bon Jovi,spotify:track:1DJHDVTIqjYYeVobsD7iHR,0.509,0.787,2,-5.065,1,0.0512,0.0146,1.12e-06,0.126,0.363,128.871
One Wild Night,Bon Jovi,spotify:track:03LGpDYgqaaj2TuX5Sj7CS,0.552,0.881,0,-4.52,0,0.101,0.104,5e-06,0.0971,0.524,142.558
Born To Be My Baby,Bon Jovi,spotify:track:50ZpPgU81payZxI2H7QXNM,0.534,0.959,7,-4.289,1,0.0379,0.0089,0.0,0.347,0.756,131.278
Living In Sin,Bon Jovi,spotify:track:4urd42euwvihhC3j1G8Jt2,0.267,0.793,4,-7.12,1,0.0415,0.0247,0.0,0.0634,0.526,174.118
Raise Your Hands,Bon Jovi,spotify:track:7edZO40XkVIPbdvd2gCHZ3,0.451,0.957,2,-3.166,1,0.0471,0.0619,0.00213,0.07,0.519,136.31
I'd Die For You,Bon Jovi,spotify:track:2HKkbbCwRRXu5COx9AY5LZ,0.423,0.972,9,-2.389,0,0.0634,0.26,0.000101,0.168,0.477,132.929
Never Say Goodbye,Bon Jovi,spotify:track:47jkSOZX6hFbTQoFgCKAQE,0.326,0.805,2,-2.428,1,0.0343,0.0511,0.0,0.109,0.277,135.855
Wild In The Streets,Bon Jovi,spotify:track:7FOomGddxLBUmogfeGXCTg,0.278,0.971,9,-2.285,1,0.0572,0.00484,5.45e-05,0.26,0.711,165.518
Imagine,Pentatonix,spotify:track:1UaTmLT3nB1sNBfv1hkqU1,0.243,0.287,11,-9.429,1,0.0308,0.697,0.0,0.104,0.161,142.124
Save the World / Don't Worry Child,Pentatonix,spotify:track:1k69KJ5AsFwkbK5MOOxLHx,0.563,0.735,9,-7.305,0,0.0579,0.0226,0.0,0.123,0.356,128.01
Cocaine,Eric Clapton,spotify:track:3ykSdTGmYPFl8pDBXer1zG,0.699,0.502,9,-12.526,1,0.0278,0.0607,0.0337,0.317,0.676,105.266
Pour Some Sugar On Me (2012),Def Leppard,spotify:track:0LN0ASTtcGIbNTnjSHG6eO,0.497,0.849,9,-5.352,1,0.0612,0.00985,0.0,0.106,0.72,169.937
You Can't Always Get What You Want,The Rolling Stones,spotify:track:6lFZbCc7pn6Lme1NP7qQqQ,0.32,0.62,0,-9.686,1,0.0594,0.64,6.36e-05,0.253,0.472,86.327
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,spotify:track:2PzU4IB8Dr6mxV3lHuaG34,0.723,0.863,2,-7.89,1,0.0338,0.0383,0.0317,0.128,0.931,136.302
"Another Brick in the Wall, Pt. 2",Pink Floyd,spotify:track:4gMgiXfqyzZLMhsksGmbQV,0.693,0.394,0,-15.882,1,0.0428,0.0782,0.000694,0.247,0.721,104.114
Goodbye Blue Sky,Pink Floyd,spotify:track:0ESdtt9cjGZUkUbaubSrv2,0.638,0.0811,7,-22.646,1,0.0335,0.879,0.00313,0.314,0.0503,109.154
Rock You Like A Hurricane,Scorpions,spotify:track:0XIvZ82aDF7JiSi3ZE320u,0.482,0.601,7,-12.846,1,0.0486,0.00853,0.000187,0.249,0.774,125.619
Poison,Alice Cooper,spotify:track:5XcZRgJv3zMhTqCyESjQrF,0.28,0.908,2,-5.509,0,0.109,0.0327,8.85e-06,0.18,0.26,118.698
School's Out,Alice Cooper,spotify:track:5Z8EDau8uNcP1E8JvmfkZe,0.294,0.745,5,-9.138,1,0.0461,0.05,0.125,0.676,0.347,134.364
House of Fire,Alice Cooper,spotify:track:3besbqbQ0SNltlL36FAMD2,0.479,0.979,10,-5.077,0,0.107,0.0207,0.0,0.722,0.292,124.764
Take Me To Church,Hozier,spotify:track:0IqKeD8ZSP72KbGYyzEcAs,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945
Fireflies,Owl City,spotify:track:3DamFFqW32WihKkTVlwTYQ,0.512,0.662,3,-6.797,1,0.0439,0.0275,0.0,0.118,0.472,180.114
Pompeii,Bastille,spotify:track:3gbBpTdY8lnQwqxNCcf795,0.679,0.715,9,-6.383,1,0.0407,0.0755,0.0,0.271,0.571,127.435
Knockin' On Heaven's Door,Guns N' Roses,spotify:track:32V8SrHZnYzZu7V47L2jgK,0.486,0.744,6,-7.176,1,0.0404,0.0204,0.00298,0.112,0.362,132.446
Smoke on the Water,Deep Purple,spotify:track:5SAUIWdZ04OxYfJFDchC7S,0.632,0.586,0,-11.333,1,0.0284,0.0983,0.581,0.0535,0.89,114.243
Hey You - 2011 Remastered Version,Pink Floyd,spotify:track:4WKpan8kLoNuaFgvc8ONc6,0.588,0.301,0,-14.979,1,0.0294,0.221,0.00236,0.128,0.19,112.458
You Shook Me All Night Long,AC/DC,spotify:track:2SiXAy7TuUkycRVbbWDEpo,0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361
Rock And Roll All Nite,KISS,spotify:track:7990Xs9HQx7FXVIDVPEwj9,0.656,0.931,1,-5.827,1,0.0976,0.046,0.0,0.0543,0.909,144.747
My Immortal,Evanescence,spotify:track:4UzVcXufOhGUwF56HT7b8M,0.19,0.265,9,-9.206,1,0.0356,0.863,0.0,0.134,0.101,79.012
Wrecking Ball,Miley Cyrus,spotify:track:2vwlzO0Qp8kfEtzTsCXfyE,0.53,0.422,5,-6.262,1,0.0342,0.407,0.0,0.107,0.349,119.964
Me And My Broken Heart,Rixton,spotify:track:1oew3nFNY3vMacJAsvry0S,0.545,0.783,5,-4.261,0,0.0345,0.00489,0.0,0.132,0.551,174.084
Basket Case,Green Day,spotify:track:6L89mwZXSOwYl76YXfX13s,0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71e-06,0.091,0.781,85.064
American Idiot,Green Day,spotify:track:6nTiIhLmQ3FWhvrGafw2zj,0.38,0.988,1,-2.042,1,0.0639,2.64e-05,7.86e-05,0.368,0.769,186.113
King for a Day,Green Day,spotify:track:3b2Tnh3Dd9ahRoNm28RfNM,0.419,0.983,1,-4.073,0,0.0389,0.000583,8.09e-05,0.163,0.946,147.584
Good Riddance (Time of Your Life),Green Day,spotify:track:6ORqU0bHbVCRjXm9AjyHyZ,0.475,0.432,7,-7.844,1,0.0302,0.183,0.0,0.161,0.648,94.605
Fat Lip,Sum 41,spotify:track:4KacUpvbA3Mfo05gttTjhN,0.402,0.914,9,-5.215,1,0.142,0.000579,0.0,0.065,0.626,196.505
Applause,Lady Gaga,spotify:track:2Zj4FUsMtu9PMuJsHbGbdv,0.669,0.78,7,-4.287,0,0.053,0.0265,1.63e-06,0.143,0.738,139.945
Gives You Hell,The All-American Rejects,spotify:track:6ihL9TjfRjadfEePzXXyVF,0.718,0.691,4,-6.44,1,0.0387,0.0159,0.0,0.0627,0.552,100.008
Mr. Brightside,The Killers,spotify:track:7oK9VyNzrYvRFo7nQEYkWN,0.356,0.924,1,-3.74,1,0.0808,0.00101,0.0,0.0953,0.232,148.017
Born This Way,Lady Gaga,spotify:track:6r2BECwMgEoRb5yLfp0Hca,0.587,0.828,11,-5.108,1,0.161,0.00327,0.0,0.331,0.494,123.907
Love Runs Out,OneRepublic,spotify:track:5BJSZocnCeSNeYMj3iVqM7,0.719,0.935,7,-3.752,1,0.0589,0.167,0.0,0.0973,0.738,120.022
"Danger Zone - From ""Top Gun"" Original Soundtrack",Kenny Loggins,spotify:track:34x6hEJgGAOQvmlMql5Ige,0.544,0.897,3,-6.056,0,0.0471,0.241,0.0,0.13,0.647,157.17
I Bet My Life,Imagine Dragons,spotify:track:1CQXNBt6zv15L8zDITcxRB,0.545,0.659,1,-8.18,1,0.0394,0.367,0.00111,0.415,0.599,108.04
One Step Closer,Linkin Park,spotify:track:3K4HG9evC7dg3N0R9cYqk4,0.492,0.969,9,-4.419,1,0.0491,0.0014,1.32e-06,0.0787,0.538,95.136
Papercut,Linkin Park,spotify:track:1Vej0qeQ3ioKwpI6FUbRv1,0.524,0.939,9,-3.994,1,0.113,0.00022,0.0,0.623,0.661,150.184
Love Somebody,Maroon 5,spotify:track:0HnaqUxvHP5LaWdmWwJpiS,0.675,0.792,1,-6.303,1,0.0368,0.145,0.0,0.12,0.395,120.016
Reach For The Sky,Social Distortion,spotify:track:5eGDKrTYl2h6ponZyMMhgZ,0.437,0.98,1,-3.05,1,0.0552,1.61e-05,0.00207,0.304,0.409,122.735
Carry Out (Featuring Justin Timberlake),Timbaland,spotify:track:2DHc2e5bBn4UzY0ENVFrUl,0.531,0.574,10,-6.693,0,0.113,0.114,0.0308,0.256,0.272,115.68
Dance,Petra,spotify:track:4e1IgVpmLOFuRxOLpJoQDy,0.619,0.89,1,-7.1,1,0.0293,0.0016,0.000282,0.092,0.655,106.014
I Don't Want To Grow Up,Ramones,spotify:track:6SYAkJQoasyrSvAj5abGDJ,0.528,0.917,11,-5.465,0,0.038,0.000722,0.0023,0.257,0.55,91.03
Spiderman - Live,Ramones,spotify:track:4nSwuRL8QkjBqgd7VI9bjG,0.167,0.955,7,-8.266,1,0.0832,8.22e-05,0.922,0.187,0.324,191.524
We're A Happy Family - Live,Ramones,spotify:track:1qzi1RVvvdDI9oo0PoiSBh,0.48,0.983,2,-7.25,1,0.0497,0.000113,0.754,0.265,0.624,127.849
R.A.M.O.N.E.S. - Live,Ramones,spotify:track:41bS96myd5A4dUyMcHqWFh,0.562,0.949,11,-6.351,1,0.0461,0.00173,2.72e-05,0.209,0.886,120.564
Rock 'N Roll High School - Live At The Palace/1996,Ramones,spotify:track:0N9zDDkivIRtF18sxeDuaF,0.525,0.919,0,-6.914,1,0.0457,0.000533,0.0799,0.144,0.701,128.646
K.K.K. Took My Baby Away - Live At The Palace/1996,Ramones,spotify:track:4yPAaaxkHymm1UIAXtMK5v,0.283,0.962,8,-6.732,1,0.107,0.000301,0.00044,0.126,0.458,176.728
Mary Jane's Last Dance,Tom Petty and the Heartbreakers,spotify:track:5eYwDBLucWfWI5KsV7oYX2,0.402,0.814,10,-4.954,1,0.14,0.0383,1.19e-06,0.266,0.516,170.02
I Want To Be A Clone - I Want To Be A Clone,Steve Taylor,spotify:track:1q2NJhekwWFU8pxdI2yOnc,0.682,0.616,3,-13.872,1,0.0697,0.0263,0.000288,0.0574,0.883,147.634
Meltdown (At Madame Tussaud's),Steve Taylor,spotify:track:0yDKahApfmEGGXK86lqTMp,0.599,0.835,10,-13.453,0,0.0726,0.0188,0.000109,0.366,0.876,176.172
On The Fritz - On The Fritz Album Version,Steve Taylor,spotify:track:4FqSyQjIz7LSS9xPj4f9Ks,0.788,0.524,0,-11.538,1,0.031,0.115,0.0918,0.354,0.807,118.169
Jim Morrison's Grave - Now The Truth Can Be Told Album Version,Steve Taylor,spotify:track:5vNnnFgOrlVmGGe7KkcwGu,0.502,0.762,1,-7.286,1,0.031,0.0276,0.0042,0.135,0.254,137.329
I Blew Up The Clinic Real Good - Now The Truth Can Be Told Album Version,Steve Taylor,spotify:track:5fuDPwKKjUAx04r2cofO8v,0.628,0.779,7,-7.151,1,0.0259,0.0427,8.35e-05,0.463,0.927,113.687
Baby Doe - Now The Truth Can Be Told Album Version,Steve Taylor,spotify:track:6nPs5HL3xav6Wn9f0Vr4XD,0.384,0.133,6,-15.681,0,0.0419,0.747,4.97e-06,0.0696,0.124,125.305
"Drive, He Said - Now The Truth Can Be Told Album Version",Steve Taylor,spotify:track:1cO83GyyNDV6rKbBLWbfRW,0.621,0.842,5,-9.63,1,0.0647,0.0386,3.22e-05,0.358,0.461,123.071
Dark As A Dungeon,Johnny Cash,spotify:track:37ZYjiEPRvsw5iXassQPhk,0.596,0.0406,4,-14.344,1,0.0398,0.954,9.87e-06,0.0967,0.445,95.684
Man of Constant Sorrow,Charm City Devils,spotify:track:6TA1tVt12Hl9Ggrz6J55U6,0.416,0.876,5,-3.853,1,0.0513,0.000158,0.0147,0.331,0.686,83.946
"I Am A Man Of Constant Sorrow - From “O Brother, Where Art Thou” Soundtrack / Radio Station Version",The Soggy Bottom Boys,spotify:track:5AhDb4oM6f4YmHPXW123Fg,0.568,0.308,5,-13.063,1,0.0274,0.69,0.0,0.104,0.721,85.917
I Want to Know What Love Is,Amason,spotify:track:3HszEQiMdPTNcglWcnMGk3,0.268,0.56,2,-6.734,0,0.0471,0.521,0.207,0.0782,0.334,178.766
Killing Me Softly With His Song,Fugees,spotify:track:0Q0IVlqMV64kNLlwjPj0Hl,0.765,0.29,4,-17.117,0,0.139,0.0279,0.0,0.571,0.506,92.409
Haven't Met You Yet,Michael Bublé,spotify:track:4fIWvT19w9PR0VVBuPYpWA,0.615,0.733,8,-4.808,1,0.0335,0.152,0.0,0.109,0.796,122.58
Holiday,Bee Gees,spotify:track:4SyA5GahcFVbJEcDooBybR,0.5,0.145,9,-14.169,0,0.03,0.921,0.0,0.0857,0.197,104.706
In The Light,DC Talk,spotify:track:0ns55oQB9v1MsFYmSzRu9P,0.641,0.834,8,-5.77,0,0.0526,0.179,1.25e-05,0.208,0.707,105.751
Stars Align,Lindsey Stirling,spotify:track:3YhO0NPxDnbLT2LswPaQPG,0.614,0.789,5,-6.206,1,0.039,0.000513,0.895,0.259,0.241,126.984
Whole Wide World,Wreckless Eric,spotify:track:5GL7iZg4ELjVcqovuP6PDS,0.746,0.548,5,-9.057,1,0.0747,0.527,0.000141,0.0923,0.881,114.299
Mr. Pinstripe Suit,Big Bad Voodoo Daddy,spotify:track:5TB8lq3NL3GcKHMBj36czk,0.655,0.715,11,-7.086,0,0.0602,0.0382,8.33e-06,0.0741,0.765,107.645
Give A Little Bit,Supertramp,spotify:track:6XUHsYE38CEbYunT983O9G,0.531,0.818,2,-5.358,1,0.0452,0.0694,0.0096,0.263,0.471,90.767
Two Tickets to Paradise,Eddie Money,spotify:track:22CIOfLZB9z8He7WgHYAgH,0.623,0.68,2,-13.255,1,0.0282,0.0056,0.000425,0.148,0.737,129.713
Mandy,Barry Manilow,spotify:track:4oV4dVj0evVFhjPLvUz8w8,0.325,0.421,10,-8.859,1,0.0278,0.373,1.03e-06,0.126,0.39,104.146
Dragostea Din Tei - Original Italian Version,O-Zone,spotify:track:4rPLXgafE7QzpWGUPR2Nfy,0.669,0.887,11,-6.498,0,0.0295,0.0412,0.0,0.094,0.805,130.04
The Storm/The Anchor Holds,Ray Boltz,spotify:track:7iVjZhc9ZJLjSlrEtnWs7l,0.481,0.346,8,-11.753,1,0.0254,0.41,1.25e-05,0.377,0.183,75.593
Bobby Brown Goes Down,Frank Zappa,spotify:track:2IBJHglp50a8GxonbKrnPf,0.598,0.564,0,-10.251,1,0.18,0.272,0.0,0.145,0.781,136.453
Every Woman in the World,Air Supply,spotify:track:3mI9Z256VhQI6VAHRxFqUf,0.485,0.555,9,-6.928,1,0.0279,0.201,0.0,0.11,0.364,78.085
Are You There_,Cast Recording,spotify:track:2R2Tmfn9QyPN7C0pNKBOb0,0.56,0.507,4,-10.588,1,0.0606,0.505,0.0,0.102,0.332,99.651
Warning,Cast Recording,spotify:track:40rrfGuOx4rkLgsBBM0Q8w,0.397,0.145,8,-13.042,1,0.0345,0.734,0.00231,0.142,0.0924,74.345
All Grown Up,Cast Recording,spotify:track:7JnaRPvym5p9pkkrjVePra,0.409,0.292,1,-11.459,0,0.11,0.512,0.0,0.0666,0.183,75.904
Awesome God,Rich Mullins,spotify:track:5niLKxgCj4UriedJmPtJld,0.485,0.407,6,-14.874,0,0.0352,0.265,0.0,0.139,0.459,73.837
Cartoons and Vodka,Jinkx Monsoon,spotify:track:7MTSjR6qz771m55GNvhAYb,0.642,0.739,9,-5.59,1,0.0422,0.304,0.148,0.0875,0.805,82.952
Skyfall,Adele,spotify:track:6VObnIkLVruX4UVyxWhlqm,0.346,0.552,0,-6.864,0,0.0282,0.417,0.0,0.114,0.0789,75.881
Changes,Faul & Wad Ad,spotify:track:13qqdlSeF8FcxsRyapDMZ0,0.822,0.704,3,-8.242,0,0.0374,0.00864,0.627,0.0633,0.255,125.999
Ode To Attention Seekers,Paul Baker,spotify:track:2XOP5N6f1i7dsew5MiaFEG,0.398,0.597,0,-6.019,1,0.0838,0.533,0.0,0.0912,0.702,93.625
I'll Have You All,Boy George,spotify:track:3FZFomhF0aLhSgWN6Gcp2R,0.622,0.374,8,-9.067,1,0.134,0.5,0.0,0.239,0.67,113.434
Daydream Believer,Mary Beth Maziarz,spotify:track:5hPDjcK2S8pQaeVcfBn7jE,0.481,0.0303,7,-18.456,1,0.0456,0.965,0.000146,0.107,0.266,114.194
Unchained Melody,The Righteous Brothers,spotify:track:1jFhnVoJkcB4lf9tT0rSZS,0.361,0.219,0,-16.553,1,0.0285,0.563,0.0,0.558,0.26,98.532
